Year,Family,Genus,Reported.Taxon,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.Type
2021,Myliobatidae,Mobula,Mobula tarapacana,150,kg,HK,LK,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,796.24,kg,HK,ID,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,195,kg,HK,MX,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,350,kg,HK,YE,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,2850,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,680,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,5727,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,1507,kg,KR,TW,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,3700,kg,SG,ES,HS,T,X,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,2300,kg,KR,VU,,T,W,I
2020,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,72,kg,HK,SC,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,23022,kg,MX,CR,,T,W,I
2017,Alopiidae,Alopias,Alopias pelagicus,250,kg,CN,MX,,T,O,E
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,252,kg,CN,MX,,T,O,E
2020,Myliobatidae,Mobula,Mobula spp.,630.9,kg,HK,IN,,T,W,I
2020,Myliobatidae,Mobula,Mobula spp.,386.2,kg,HK,IN,,T,W,I
2022,Myliobatidae,Mobula,Mobula japanica,200,kg,HK,LK,,T,W,E
2022,Myliobatidae,Mobula,Mobula spp.,500,kg,HK,LK,,T,W,E
2022,Myliobatidae,Mobula,Mobula tarapacana,300,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,546.18,kg,CN,MX,,T,W,E
